epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73108,1.51371,3.70648,1.66455,0.00736,0.57475,0.01454,0.0039,1.44989,4.20156,2.06444,3.333e-05,3.333e-05,3.333e-05
2,9.90934,1.28025,3.62477,1.48802,0.01031,0.76205,0.04676,0.0184,1.30767,4.08641,1.81154,7.70001e-05,7.70001e-05,7.70001e-05
3,11.9094,1.1675,3.4116,1.37047,0.01042,0.87071,0.14652,0.07387,1.18096,3.81457,1.38338,0.00011979,0.00011979,0.00011979
4,14.0872,1.15523,3.09577,1.3178,0.00992,0.91111,0.24609,0.1358,1.07325,3.70688,1.23612,0.0001617,0.0001617,0.0001617
5,16.2366,1.25558,2.92538,1.36985,0.0101,0.91111,0.24492,0.13022,1.07599,3.63979,1.23916,0.000202731,0.000202731,0.000202731
6,18.249,1.14161,2.65914,1.33371,0.0102,0.93333,0.24616,0.14226,1.13562,3.47482,1.24009,0.000242881,0.000242881,0.000242881
7,20.2803,1.13223,2.6374,1.30268,0.01054,0.93333,0.27884,0.17313,1.13103,3.3247,1.2429,0.000282152,0.000282152,0.000282152
8,22.3385,1.06823,2.49739,1.26284,0.01104,0.93333,0.26035,0.14889,1.21263,3.25459,1.28501,0.000320542,0.000320542,0.000320542
9,24.3728,1.07016,2.46758,1.28098,0.0106,0.90476,0.26239,0.15161,1.2575,3.17068,1.3408,0.000358053,0.000358053,0.000358053
10,26.4219,1.09227,2.431,1.32497,0.16185,0.35945,0.29509,0.17485,1.32887,2.985,1.41849,0.000394684,0.000394684,0.000394684
11,28.4557,0.93662,2.30685,1.19828,0.17211,0.33583,0.29934,0.18911,1.37515,2.888,1.39623,0.000430435,0.000430435,0.000430435
12,30.6022,1.14788,2.36113,1.31461,0.22457,0.31227,0.29468,0.17723,1.35011,2.92491,1.35795,0.000465306,0.000465306,0.000465306
13,32.7276,1.09979,2.22952,1.25596,0.20562,0.42496,0.33853,0.21236,1.25987,3.00884,1.30045,0.000499297,0.000499297,0.000499297
14,34.787,1.07897,2.21201,1.22546,0.26914,0.27114,0.32359,0.20485,1.26902,2.91035,1.30404,0.000532408,0.000532408,0.000532408
15,36.9696,0.94925,2.18336,1.16752,0.25336,0.45011,0.37056,0.22265,1.40206,2.65971,1.39095,0.000564639,0.000564639,0.000564639
16,39.0977,1.02626,2.07345,1.22014,0.23607,0.50808,0.37291,0.2262,1.37641,2.65448,1.40264,0.00059599,0.00059599,0.00059599
17,41.099,0.94578,2.02611,1.17251,0.26601,0.48278,0.41519,0.22276,1.40736,2.59268,1.41919,0.000626462,0.000626462,0.000626462
18,43.1459,1.00843,2.01227,1.19373,0.22353,0.57547,0.37923,0.2068,1.46126,2.48972,1.38717,0.000656053,0.000656053,0.000656053
19,45.2347,0.94571,1.96401,1.15782,0.40834,0.28369,0.39696,0.24595,1.42716,2.50037,1.37254,0.000684765,0.000684765,0.000684765
20,47.3871,1.00658,2.01077,1.20935,0.2911,0.34084,0.40083,0.25815,1.30395,2.51147,1.30064,0.000712597,0.000712597,0.000712597
21,49.5112,1.00322,2.0412,1.16764,0.22775,0.42888,0.37034,0.24758,1.25317,2.57133,1.24889,0.000739548,0.000739548,0.000739548
22,51.5593,0.93982,1.85022,1.11665,0.80568,0.25843,0.44212,0.28764,1.38956,2.49318,1.37163,0.00076562,0.00076562,0.00076562
23,53.6205,0.99899,1.84082,1.14485,0.83593,0.23377,0.46459,0.27785,1.37295,2.47586,1.34949,0.000790812,0.000790812,0.000790812
24,55.7007,0.97536,1.75255,1.1723,0.53648,0.26234,0.40244,0.281,1.25838,2.57726,1.24967,0.000815124,0.000815124,0.000815124
25,57.8684,0.92059,1.673,1.1267,0.86147,0.27792,0.35557,0.24426,1.24703,2.77047,1.24033,0.000838556,0.000838556,0.000838556
26,59.982,0.93947,1.69306,1.131,0.19661,0.45183,0.36852,0.24588,1.22675,2.71612,1.20486,0.000836027,0.000836027,0.000836027
27,62.1317,0.84277,1.69895,1.05803,0.25955,0.57764,0.41864,0.27109,1.30203,2.50279,1.22988,0.000825029,0.000825029,0.000825029
28,64.3636,0.98947,1.66893,1.15747,0.27757,0.53313,0.4054,0.2756,1.26057,2.56471,1.21618,0.00081403,0.00081403,0.00081403
29,66.47,0.86021,1.58718,1.06362,0.27644,0.42751,0.38526,0.25532,1.29311,2.69279,1.27227,0.000803031,0.000803031,0.000803031
30,68.5231,0.89641,1.54811,1.08399,0.41965,0.31385,0.40874,0.2504,1.40732,2.67975,1.36398,0.000792032,0.000792032,0.000792032
31,70.715,0.87402,1.50052,1.05951,0.2212,0.40735,0.37543,0.23116,1.39227,2.70109,1.40655,0.000781033,0.000781033,0.000781033
32,72.8741,0.89977,1.59186,1.07244,0.23262,0.41324,0.36943,0.2437,1.37448,2.70409,1.44776,0.000770034,0.000770034,0.000770034
33,74.9301,0.83726,1.45161,1.0624,0.34026,0.34758,0.38605,0.25564,1.38373,2.88964,1.55988,0.000759035,0.000759035,0.000759035
34,76.9762,0.85665,1.40132,1.06617,0.51333,0.34475,0.42533,0.28195,1.35228,2.78491,1.50384,0.000748036,0.000748036,0.000748036
35,79.0316,0.81713,1.3613,1.04383,0.47669,0.46199,0.50041,0.30524,1.36573,2.61296,1.40943,0.000737037,0.000737037,0.000737037
36,81.1052,0.82939,1.3258,1.08242,0.47847,0.51688,0.49963,0.30682,1.36191,2.61595,1.3901,0.000726038,0.000726038,0.000726038
37,83.2147,0.76402,1.25694,1.02343,0.56842,0.43401,0.55014,0.34104,1.32915,2.63616,1.36643,0.00071504,0.00071504,0.00071504
38,85.3217,0.81238,1.27978,1.02175,0.64224,0.41675,0.55281,0.3424,1.33898,2.61042,1.3608,0.000704041,0.000704041,0.000704041
39,87.4096,0.78266,1.25795,1.03055,0.47691,0.50621,0.56463,0.36101,1.32484,2.42958,1.33356,0.000693042,0.000693042,0.000693042
40,89.5242,0.80885,1.34964,1.05925,0.37117,0.5811,0.55441,0.35931,1.33047,2.4417,1.35487,0.000682043,0.000682043,0.000682043
41,91.6074,0.76214,1.19444,1.0126,0.49538,0.58285,0.59053,0.35913,1.28635,2.43789,1.33964,0.000671044,0.000671044,0.000671044
42,93.7171,0.78014,1.22441,1.01358,0.47344,0.53094,0.55297,0.34868,1.29687,2.38634,1.34329,0.000660045,0.000660045,0.000660045
43,95.8346,0.74757,1.22634,1.01963,0.3988,0.55729,0.51802,0.33987,1.31893,2.3812,1.38162,0.000649046,0.000649046,0.000649046
44,97.9483,0.82045,1.23802,1.08172,0.63151,0.40823,0.52228,0.3374,1.33764,2.39665,1.4268,0.000638047,0.000638047,0.000638047
45,100.072,0.73345,1.16602,1.03188,0.76916,0.33445,0.50413,0.33214,1.37398,2.59176,1.46594,0.000627048,0.000627048,0.000627048
46,102.164,0.7429,1.12044,1.01567,0.39366,0.54655,0.50883,0.33673,1.41772,2.74773,1.53103,0.000616049,0.000616049,0.000616049
47,104.26,0.78352,1.17658,1.0183,0.41025,0.56291,0.5054,0.32319,1.35111,2.6918,1.50764,0.000605051,0.000605051,0.000605051
48,106.369,0.70218,1.04341,1.01016,0.42164,0.52412,0.50299,0.31171,1.37381,2.67467,1.54527,0.000594052,0.000594052,0.000594052
49,108.502,0.74665,1.08512,1.01254,0.40801,0.52819,0.47736,0.29549,1.42233,2.66946,1.56536,0.000583053,0.000583053,0.000583053
50,110.68,0.73369,1.09435,1.00288,0.40946,0.5232,0.4774,0.29856,1.45792,2.74828,1.60757,0.000572054,0.000572054,0.000572054
51,112.871,0.7087,1.11853,1.01817,0.35022,0.56659,0.43946,0.27034,1.41588,2.82671,1.58256,0.000561055,0.000561055,0.000561055
52,114.991,0.65796,1.05308,0.98951,0.33802,0.57041,0.41235,0.26278,1.37286,2.85312,1.57029,0.000550056,0.000550056,0.000550056
53,117.107,0.68683,0.98885,0.97588,0.37438,0.49394,0.44206,0.29231,1.39074,2.73908,1.56968,0.000539057,0.000539057,0.000539057
54,119.243,0.69266,1.01774,0.96943,0.38413,0.55476,0.44571,0.29831,1.35414,2.63473,1.55773,0.000528058,0.000528058,0.000528058
55,121.377,0.65706,1.02839,0.9731,0.42192,0.50878,0.44306,0.29819,1.35293,2.6349,1.57856,0.000517059,0.000517059,0.000517059
56,123.506,0.7183,1.06146,0.99985,0.37744,0.56926,0.40924,0.28151,1.35608,2.65916,1.55977,0.00050606,0.00050606,0.00050606
57,125.691,0.65867,1.04519,0.96649,0.38602,0.46768,0.42673,0.2845,1.35392,2.61891,1.50755,0.000495062,0.000495062,0.000495062
58,127.854,0.71817,1.06387,1.00182,0.41384,0.56198,0.41966,0.28778,1.35734,2.51733,1.48223,0.000484063,0.000484063,0.000484063
59,129.99,0.65762,0.95631,0.9531,0.44729,0.59784,0.47976,0.32427,1.33932,2.39979,1.44427,0.000473064,0.000473064,0.000473064
60,132.127,0.66762,0.98474,0.96305,0.42687,0.62994,0.50763,0.34508,1.33297,2.29694,1.42201,0.000462065,0.000462065,0.000462065
61,134.275,0.62471,0.89846,0.93212,0.51957,0.66065,0.55793,0.35796,1.41547,2.19469,1.48557,0.000451066,0.000451066,0.000451066
62,136.44,0.65009,0.92926,0.97145,0.69954,0.54066,0.57985,0.36957,1.43807,2.11001,1.49644,0.000440067,0.000440067,0.000440067
63,138.739,0.64711,0.90324,0.948,0.6905,0.51896,0.56588,0.35971,1.43641,2.11133,1.50582,0.000429068,0.000429068,0.000429068
64,140.868,0.64078,0.94458,0.94271,0.60911,0.49839,0.5683,0.35807,1.42954,2.13671,1.50544,0.000418069,0.000418069,0.000418069
65,143.035,0.6258,0.87608,0.93978,0.58476,0.54199,0.55303,0.353,1.43241,2.19647,1.51963,0.00040707,0.00040707,0.00040707
66,145.178,0.65927,0.91694,0.96751,0.59306,0.54939,0.55662,0.35307,1.45921,2.22754,1.56581,0.000396071,0.000396071,0.000396071
67,147.341,0.61521,0.87147,0.95666,0.53853,0.56758,0.55536,0.34816,1.46509,2.27594,1.59138,0.000385073,0.000385073,0.000385073
68,149.492,0.6098,0.86927,0.96044,0.53655,0.51394,0.54735,0.33849,1.47655,2.32913,1.55251,0.000374074,0.000374074,0.000374074
69,151.631,0.60979,0.85616,0.94727,0.53421,0.55702,0.54394,0.34321,1.45755,2.41955,1.51863,0.000363075,0.000363075,0.000363075
70,153.794,0.63472,0.95562,0.95104,0.52466,0.55691,0.5346,0.33898,1.42959,2.4701,1.5066,0.000352076,0.000352076,0.000352076
71,155.952,0.65755,0.95498,0.98777,0.46103,0.52886,0.53488,0.32683,1.42345,2.47118,1.52971,0.000341077,0.000341077,0.000341077
72,158.084,0.58972,0.86832,0.94202,0.4148,0.54312,0.52541,0.31858,1.43278,2.44537,1.58358,0.000330078,0.000330078,0.000330078
73,160.247,0.57505,0.86043,0.92883,0.39898,0.65074,0.53412,0.3289,1.4385,2.39841,1.56927,0.000319079,0.000319079,0.000319079
74,162.436,0.59488,0.86718,0.94015,0.63122,0.41747,0.54827,0.34019,1.42427,2.3443,1.54409,0.00030808,0.00030808,0.00030808
75,164.624,0.58701,0.86921,0.94112,0.62179,0.41545,0.55129,0.34925,1.40407,2.29408,1.51581,0.000297081,0.000297081,0.000297081
76,168.756,0.55532,0.8099,0.92048,0.52182,0.54372,0.55787,0.35913,1.3924,2.23517,1.50802,0.000286083,0.000286083,0.000286083
77,172.612,0.60153,0.8362,0.96495,0.50399,0.54622,0.55869,0.35205,1.37889,2.19766,1.50009,0.000275084,0.000275084,0.000275084
78,176.358,0.55572,0.77451,0.91049,0.50219,0.52318,0.54303,0.34645,1.38606,2.17686,1.50341,0.000264085,0.000264085,0.000264085
79,180.061,0.56655,0.78941,0.91795,0.58125,0.51789,0.58094,0.37128,1.38684,2.14379,1.50971,0.000253086,0.000253086,0.000253086
80,183.787,0.55109,0.72787,0.93655,0.66211,0.44499,0.5712,0.36091,1.38873,2.1799,1.50959,0.000242087,0.000242087,0.000242087
81,187.488,0.56136,0.78931,0.92091,0.63424,0.43232,0.55817,0.35222,1.42533,2.24756,1.53788,0.000231088,0.000231088,0.000231088
82,191.152,0.60808,0.84126,0.94197,0.48992,0.54425,0.55928,0.34426,1.44254,2.28836,1.54993,0.000220089,0.000220089,0.000220089
